AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street City,Street State,Street Zip,Street County,Phone,License Status,Owner,Admin/CEO,Licensed Beds,Profit Status,Web Address
11966113,10368,12/28/2021,12/27/2023,Assisted Living Facility,A COUNTRY PLACE ASSISTED LIVING FACILITY,10515 MEMORIAL HIGHWAY,TAMPA,FL,33615,Hillsborough,(813) 891-0549,LICENSED,"VILLAS OF TAMPA, LLC (THE)",ROBERT ALAN LOOMIS,24,For-Profit,www.TampaALF.com
11968427,12340,6/19/2021,6/18/2023,Assisted Living Facility,A LA MY LOVE ALF,6821 DOVER CT,TAMPA,FL,33634-4708,Hillsborough,(813) 505-5564,LICENSED,A LA MY LOVE ALF INC,MARTHA MEDINA,6,For-Profit,
11966240,10498,8/6/2021,8/5/2023,Assisted Living Facility,ABIGAIL (THE),320 SOUTH DELAWARE,TAMPA,FL,33606,Hillsborough,(813) 258-2919,LICENSED,ABIGAIL ASSISTED LIVING INC.,KAREN BARCIA RODRIGUEZ,19,For-Profit,www.sweetwatermanor.com
11969673,13429,6/8/2022,6/7/2024,Assisted Living Facility,ABUELO FELIZ HOME 2 LLC,4535 W JEAN ST,TAMPA,FL,33614,Hillsborough,(813) 495-3660,LICENSED,ABUELO FELIZ HOME 2 LLC,OLGA MOLANO,5,For-Profit,
11969120,12964,5/9/2021,5/8/2023,Assisted Living Facility,ABUELO FELIZ HOME LLC,8625 MAY CIR,TAMPA,FL,33614,Hillsborough,(813) 495-3660,LICENSED,ABUELO FELIZ HOME LLC,OLGA MOLANO,6,For-Profit,
11966960,11078,10/30/2021,10/29/2023,Assisted Living Facility,ABUELO'S ANA ALF,2741 W LEROY ST,TAMPA,FL,33607-1249,Hillsborough,(813) 748-1304,LICENSED,ABUELO'S ANA ALF INC,MARYLEYDIS LOPEZ-ALVAREZ,6,For-Profit,
11969950,13693,2/28/2022,2/27/2024,Assisted Living Facility,ACTIVE ASSISTED LIVING LLC,226 CLAYTON ST,BRANDON,FL,33511,Hillsborough,(813) 530-4270,LICENSED,ACTIVE ASSISTED LIVING LLC,CLAUDIA ALUR,6,For-Profit,
11966231,12533,10/13/2022,10/12/2024,Assisted Living Facility,ACTS ASSISTED LIVING FACILITY,6806 N NEBRASKA AVE,TAMPA,FL,33604-5661,Hillsborough,(813) 237-4907,LICENSED,AGENCY FOR COMMUNITY TREATMENT SERVICES INC,LONNIE JAMES,15,Not-For-Profit,www.actsfl.org
11910002,7228,10/23/2022,10/22/2024,Assisted Living Facility,AGUILA ADULT CARE CENTER,503 N MATANZAS,TAMPA,FL,33609,Hillsborough,(813) 872-8000,LICENSED,AGUILA ENTERPRISES INC,ANUPAMA CHAPALAMADUGU,10,For-Profit,
11953588,8768,11/12/2022,11/11/2024,Assisted Living Facility,AGUILA ADULT CARE CENTER II,4011 N HABANA AVE,TAMPA,FL,33607-6730,Hillsborough,(813) 872-8000,LICENSED,AGUILA ENTERPRISES INC,ANUPAMA CHAPALAMADUGU,16,For-Profit,
11969701,13465,5/19/2022,5/18/2024,Assisted Living Facility,AGUILA ASSISTED LIVING FACILITY,4009 N HABANA AVE,TAMPA,FL,33607,Hillsborough,(813) 872-8000,LICENSED,AGUILA ENTERPRISES INC,ANUPAMA CHAPALAMADUGU,16,For-Profit,
